,Grabadora,Lugar,DiaGrabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20160101,5067,Guajira,201601015067,Alta,Baja,73º26'3.2''W,-0.171947123,0.584781875,-0.475717058,-0.860167891,0.283628426,-0.182801095,-0.822607881,-0.902168826,-1.224071471,-0.845233086,-1.142873048,-0.506750538,-0.99814643,-0.792917456,0.33989337,-0.414048176,-1.184421293,-0.521551862,-0.241007376,0.206630392,0.260609849,-0.326033412,0.486936921,0.232333342,0.149116979,-0.372677636,-1.039870886,-0.914863363,-0.200129053
20160102,5067,Guajira,201601025067,Alta,Baja,73º26'3.2''W,-0.304240809,0.874728948,-0.565690301,-0.375552434,0.446490513,-0.383921855,0.010717179,-0.758948554,-1.249018829,-0.635652937,-0.757508195,-0.52326287,-0.99814643,-0.723967782,0.396714726,0.318134168,-1.198962005,-0.457225341,0.139398291,0.350873606,0.122914483,-0.517689513,0.421485967,0.152172911,0.26244707,0.029164419,-0.745587287,-0.942384366,-0.06859847
20160103,5067,Guajira,201601035067,Alta,Baja,73º26'3.2''W,-0.339822267,0.746813843,-0.458378961,-0.135204699,0.438606027,0.009747439,0.082701639,-0.705984203,-1.241545849,-0.779099478,-0.781454297,-0.516539484,-0.99814643,-0.71337362,0.219705143,0.125067547,-1.199684555,-0.538408837,0.245870532,0.290717442,0.507416206,-0.391097466,0.740404102,0.13274194,0.167833047,0.237684981,-0.404004714,-0.543876097,0.101897199
20160104,5067,Guajira,201601045067,Alta,Baja,73º26'3.2''W,-0.229584081,0.918072096,-0.325399881,-0.110043486,0.468951444,-0.079986542,0.2152069,-0.561159123,-1.242936081,-0.650307694,-0.848026541,-0.520921077,-0.99814643,-0.706112731,0.080656931,0.258992652,-1.201383729,-0.495221971,0.377707498,0.350568339,0.274446344,-0.362860919,0.131287951,-0.11186052,0.054663227,-0.090833042,-0.648560463,-0.54468747,0.117638111
20160105,5067,Guajira,201601055067,Alta,Baja,73º26'3.2''W,-0.308184969,0.817189054,-0.322157087,-0.138336842,0.464600099,-0.411705665,0.199662583,-0.600986408,-1.235001829,-0.521418503,-0.799794115,-0.51683351,-0.99814643,-0.731215255,0.111812618,0.110716618,-1.194471938,-0.452950239,0.381644502,0.240092986,0.233372506,-0.323291347,0.18007489,-0.131028642,-0.073312859,-0.177322706,-0.836909751,-0.718013464,0.046863272
20160111,5067,Guajira,201601115067,Alta,Baja,73º26'3.2''W,-0.249420684,1.273256746,-0.264193127,0.300336494,0.427252416,-0.17966562,0.358309218,-0.567597371,-1.240037366,-0.701752294,-0.876241596,-0.508318148,-0.99814643,-0.75857253,0.185296967,0.033617426,-1.200067946,-0.557710095,0.265748854,-0.173908946,0.128949623,-0.554292558,-0.108829149,-0.2451102,-0.138530185,-0.117164806,-0.548046389,-0.422593519,0.023900231
20160112,5067,Guajira,201601125067,Alta,Baja,73º26'3.2''W,-0.432441606,1.248356963,-0.226544304,-0.173238126,0.521784472,0.096944974,0.068029251,-0.587933638,-1.248679393,-0.877061068,-0.798193553,-0.531411505,-0.99814643,-0.64583947,0.103438596,0.284293202,-1.208481334,-0.539408722,0.0656143,-0.07723849,0.004415348,-0.825354864,0.121073098,0.106758181,0.231185007,0.378185606,-0.285896629,0.026190986,0.340317276
20160113,5067,Guajira,201601135067,Alta,Baja,73º26'3.2''W,-0.654504795,1.318485315,-0.164683235,-0.619678639,0.548274618,0.103086696,-0.253452535,-0.664747237,-1.2466376,-0.790491846,-0.81941179,-0.543133792,-0.99814643,-0.603480868,-0.16619746,0.204936135,-1.205817094,-0.557275265,-0.158887258,-0.306190765,0.013840435,-0.744649428,-0.307184261,-0.235424146,0.242002955,0.249755478,-0.38687188,-0.134096286,0.393065448
20160114,5067,Guajira,201601145067,Alta,Baja,73º26'3.2''W,-0.528273765,0.637149626,-0.516945649,-0.497919935,0.512676396,-0.071020447,-0.070176613,-0.569723833,-1.243436655,-0.815986001,-0.921533106,-0.530439975,-0.99814643,-0.614824736,0.301785784,0.112170634,-1.201559253,-0.549141536,0.146825827,0.007642607,0.07722993,-0.527853275,0.264186129,0.120369354,0.645386032,0.3808286,-0.405298861,-0.312135281,0.033549797
20160115,5067,Guajira,201601155067,Alta,Baja,73º26'3.2''W,-0.493705688,1.105298829,-0.243142101,-0.48400305,0.523888983,0.038539862,0.018481063,-0.622181359,-1.245586148,-0.826723635,-0.718102488,-0.528333033,-0.99814643,-0.650982365,0.036001035,0.348630327,-1.207244369,-0.530144934,0.035019252,-0.376480079,-0.092638125,-0.532855185,-0.017779357,0.007865552,0.194558998,0.189754485,-0.420864297,-0.308964799,0.158038585
